japanese,english
佐賀,Saga
中止,cancel
相,phase
評論,Criticism
回復,recovery
医,Doctor
ランキング,Ranking
物質,material
再開,Resumption
大量,Large quantity
有する,Have
世代,generation
一緒,together
臨時,Extraordinary
判定,judgement
防御,defense
民主,Democracy
注釈,Annotation
激しい,intense
スタジアム,Stadium
学習,study
プロダクション,production
酒,Liquor
ユダヤ,Jewish
限る,Limit
書店,Bookstore
壁,Wall
抱く,Hug
剤,Agent
勝ち,win
平日,weekday
再生,reproduction
高知,Kochi
収める,Fit
用語,the term
停車,Stop
影,Shadow
平方,square
休止,pause
最優秀,Best
動き,Motion
各種,Various
団地,Housing complex
固定,Fixed
増える,increase
高松,Outrage
愛媛,Ehime
もらう,get
遺産,heritage
北京,Beijing
心理,Psychology
ジャンプ,Jump
日記,diary
金沢,Kanazawa
民間,private
キング,King
蔵,Warehouse
一番,number one
出現,Appearance
話す,talk
比較的,Relatively
床,floor
イラスト,An illustration
収容,Accommodation
吉,Good
ただ,However
横,beside
山梨,Yamanashi
株主,Shareholder
司,Chair
生月,Loving month
バスケットボール,basketball
太平洋,Pacific Ocean
ブラジル,Brazil
丘,hill
プロデュース,Produce
イングランド,England
ワイド,wide
体育館,gym
応じる,Respond
目標,the goal
食,Food
庁,Agency
松,Pine
わけ,reason
観,View
バイパス,bypass
解放,release
意見,opinion
度目,Fit
四国,Shikoku
職員,Staff
ブラック,black
球,ball
赤い,red
事典,Encyclopedia
創業,Founding
短期大学,Junior college
コンサート,concert
天体,Astronomy
文書,documents
優,Superiority
アーティスト,Artist
改名,Renaming
歩兵,infantry
ダンス,dance
困難,Difficulty
録,Record
模様,pattern
帰国,Returning home
ジュニア,Junior
講師,Teacher
人生,life
放つ,Release
定,Fixed
め,eye
無料,free
遺跡,Remains
呼称,Name
当たる,Hit
属する,Belong
群馬,Gunma
満,Full
共に,both
じゃ,well
知識,knowledge
供給,supply
剛,Toughness
銀河,Galaxy
沖,Offshore
執筆,writing
弁護士,lawyer
雨,rain
自衛隊,Self-defense force
確保,Securing
依頼,request
罪,sin
津,Tsu
軍人,Military man
僕,I
カー,car
振興,Promotion
県内,In the prefecture
近鉄,Kintetsu
市街地,Urban area
あなた,you
普及,Spread
理解,Understanding
注目,attention
分析,analysis
上がる,Go up
装甲,Armor
仏,Buddha
広告,advertisement
検査,test
腕,arm
監修,Supervision
寺院,Temple
退任,Retirement
一族,Family
様子,state
松竹,Pine tuf
展,Exhibition
前田,Maeda
アイテム,item
中部,Central part
行き,Bound
名乗る,Lose
江,En
私立,private
前半,first half
商店,Store
ミュージシャン,Musician
ネタ,news source
裁判,trial
朝日,Morning sun
入団,Join
直前,Just before
滋賀,Shiga
将,General
中野,Nakano
密度,density
並ぶ,line up
太田,Ota
仲,Close
得票,Gain
ミニ,mini
帰る,Return
前述,Above-mentioned
機種,Model
協議,Discussions
サブ,sub
学期,semester
放映,Airing
上位,Top
池,pond
提案,suggestion
トーク,Talk
河,river
オーストリア,Austria
あげる,give
佐々木,Sasaki
雄,Male
恵,Grace
徳,Virtue
合計,total
ビジネス,business
短い,short
料金,price
悪魔,Devil
こちら,Here
吸収,absorption
駅名,Station name
交響,Symphony
駐車,Parking
窓,window
ソロ,solo
プレー,play
本体,Main unit
付属,Attached
命名,naming
消防,Firefighting
駅舎,Station building
従,Objection
諸島,Island
陣,Team
張,Tension
中山,Nakayama
適用,Apply
同時,simultaneous
管,tube
戦略,strategy
元々,originally
香,Incense
教室,Classroom
レーベル,label
海上,Sea
論文,paper
加わる,Join
タウン,Town
怪獣,monster
友,friend
ど,degree
ソウル,Soul
中島,Nakajima
開校,Open school
コムーネ,Comune
そこで,Therefore
解決,Resolution
延,Extension
案,Proposal
処分,disposal
到着,arrival
すぎる,Be too
松山,Matsuyama
危機,crisis
スウェーデン,Sweden
縁,edge
継ぐ,Inherit
崩壊,Collapse
良,good
必殺,Killing
山崎,Yamazaki
どの,Which
上野,Ueno
看護,Nurse
古い,old
証明,Proof
地位,Position
芸名,stage name
原画,Original picture
国会,Parliament
調整,Adjustment
箱,box
立,Standing
作者,author
歌詞,lyrics
わずか,Slightly
繰り返す,repeat
やや,kind of
海岸,Coast
連,Communicating
福,Fortune
す,vinegar
ほる,Be
桂,Cousin
ボス,boss
健,Health
古墳,Old tomb
熱,heat
拡張,Extension
ディレクター,director
ケース,Case
所在,Location
概念,concept
有効,valid
伯,Count
額,amount
テニス,tennis
投げる,throw
乱,Disturbance
属す,Belong
原則,principle
竹,bamboo
黄,yellow
爆発,explosion
パーソナリティ,Personality
戸,door
ランド,land
権利,right
リーダー,leader
久,Ache
竣工,Conclusion
読売,Yello
分かる,Understand
集合,set
ほう,law
原題,Original title
ソフトウェア,software
代わる,replace
を通じて,Through
スキー,Ski
閉鎖,close
許可,permission
中華人民共和国,People's Republic of China
規格,standard
期待,Expectation
シンボル,symbol
広場,Square
尾,tail
かかわる,Be caught
料,Charges
強制,Forced
洋,Ocean
占める,Occupy
栄,Prosperity
ばかり,Only
撤退,Withdrawal
本塁打,Main base
岩,rock
武田,Takeda
廃,Abolition
国土,Land
注意,caution
キー,Key
任命,Appointment
白い,white
動画,movie
現象,phenomenon
ユース,Use
上海,Shanghai
数学,Math
絶対,absolutely
分校,School
言える,Be said
本格,Authentic
柔道,judo
移る,Move
優秀,excellence
進,Advance
修,Disconnection
芸人,Entertainer
優れる,Be excellent
協定,Agreement
ちなみに,as a side note
通う,go
王者,King
チャンピオン,champion
美しい,beautiful
だが,But
警備,security
知事,Governor
氏名,Full name
規制,Regulation
英雄,hero
占領,occupation
実業,Business
ける,Be
球場,Stadium
日間,Day
中世,middle Ages
交渉,negotiation
結局,in the end
及ぶ,Be
軍団,Army
外交,Diplomacy
ゴール,goal
外科,Surgery
あり,can be
入口,entrance
ダイヤ,Diamond
準備,Preparation
うた,Watermelon
希望,Hope
プレイ,play
恋愛,love
起用,Starting
資金,Fund
金属,metal
合成,Synthesis
堺,Sakai
乗降,Passion
ブレーキ,break
高度,Altitude
称号,title
神経,Nerve
提携,Partnership
メキシコ,Mexico
左右,Left and right
認識,recognition
キャンパス,campus
同士,Each other
大幅,Significant
劇団,Theater group
さくら,Cherry Blossoms
富士,Fuji
区別,Distinction
相互,Mutual
ドア,door
証券,stock
人形,doll
橋本,Hashimoto
教える,teach
漢,Han
決まる,Be determined
マシン,Machine
ろ,reactor
艇,Boat
合格,Passing
青春,Youth
上昇,rise
伊勢,Ise
募集,Recruitment
コレクション,collection
仮面ライダー,Kamen Rider
紀,Denomination
市川,City of city
重複,Duplicate
服,clothes
統治,Governance
茂,Mulberry
本店,Bookstore
検討,examination
一郎,Ichiro
流れ,flow
アクション,action
演劇,theater
どちら,Which
本編,Main edition
扉,door
特,Special
許す,forgive
特集,Special feature
矢,arrow
代理,Substitute
中間,Middle
生息,Habitat
打つ,strike
鏡,mirror
ゆく,go
国旗,National flag
ナレーション,Narration
女王,Queen
ロケット,rocket
ゴルフ,golf
植民,Colon
拳,fist
弁,valve
劉,Ax
南北,North-north
鎮,Sesity
パン,Bread
視,Vision
選抜,Selection
経緯,background
ロード,Load
授業,class
アップ,up
往復,round trip
両親,parents
ロ,B
集英社,Shueisha
狙う,Aim
慶,Kounds
岡田,Okada
列,Column
パワー,power
どこ,where
仮面,mask
現場,Field
一貫,Consistency
ポール,Pole
無線,wireless
又は,Or
のり,Seaweed
湾,bay
寿,Dust
恋人,lover
場面,scene
博,Fiction
空気,air
支部,Branch
べ,NS
応援,support
羅,Liber
える,Get
要,Necessity
村上,Murakami
推薦,Recommendation
参議院,Councilors
チャート,chart
下車,Off
霊,Spirit
ふる,Fur
巨人,Giant
楽器,instrument
割,Percentage
方針,policy
二つ,two
弟子,Disciple
甲,Arm
変身,Transform
闇,darkness
いち,one
スケート,skate
夫人,Mrs
入社,Joining
金曜日,Friday
地点,point
アン,Ann
国有,State-owned
広がる,spread
分かれる,Divide
兵士,soldier
改善,Improvement
ボタン,button
用意,preparation
話題,topic
議長,Chairman
描写,Depiction
遠い,far
人類,Human race
快速,Rapid
最多,Most
だい,big
助ける,help
棟,Building
小川,stream
移管,Transfer
買収,Acquisition
リー,Lee
手段,means
区画,section
北西,Northwest
学年,School year
緯,Witness
コミュニティ,community
自,Oneself
走行,Driving
フィルム,the film
尚,still
黒い,black
中日,Medium day
俺,me
させる,Make
積極,Aggressive
人民,People
同日,Same day
スペース,space
神話,mythology
作中,Crop
育成,Fostering
合う,Fit
木曜,Thursday
広,Broad
斬る,kill
体験,Experience
旧暦,Old calendar
沿い,Along
少し,a bit
大半,Most
みんな,Everyone
穴,hole
発着,Arrival
否定,denial
すなわち,That is
呉,呉
こそ,With
事情,Circumstance
キリスト,Christ
刀,sword
フィールド,field
テスト,test
引き継ぐ,take over
姓,Surname
大橋,Large bridge
し,death
保有,Possession
環,ring
判決,Judgment
有限,Finite
元首,Chief
毎日,every day
カトリック,Catholic
三郎,San
整理,Organization
画家,painter
作用,Action
大使,Ambassador
すでに,already
過ぎる,Pass
はる,stretch
立てる,Stand
ギリシャ,Greece
関西テレビ,Kansai television
がる,Be
建てる,build
興,Vogue
飛ぶ,jump
箇所,part
電力,Power
発達,development
去る,leave
襲う,Attack
開幕,Opening
こうした,Such
感染,infection
施す,Appeal
ベトナム,Vietnam
舞,dance
合流,Join
機会,chance
決算,settlement
集中,concentration
藤,Wisteria
ニュー,new
講座,Course
小学館,Shogakkan
歩,Step
分の,Minute
質,quality
居住,Residence
脚,leg
祭り,Festival
伊,Izu
進化,evolution
レ,NS
動作,motion
業種,Industry
厳しい,Strict
マガジン,magazine
落とす,Drop
和田,Wada
レポート,Report
次元,dimension
嘉,Octopus
諸国,Countries
変遷,Transition
泰,Tae
装,Impartation
也,Scarlet
現存,Existence
午後,afternoon
ボクシング,boxing
買う,buy
いえる,Be observed
襲撃,Raid
越える,Cross
商,quotient
負傷,Injury
ごろ,Duration
爆弾,bomb
景,View
流す,Flush
敗北,defeat
格,Rating
古典,classic
前年,Previous year
ド,De
松平,Matsutoru
灯,light
荘,Hall
る,NS
種別,kinds
田村,Tamura
紅,deep red
国王,King
命じる,Order
あと,after
電動,electric
学名,Scientific name
パーク,Park
ワシントン,Washington
淳,Ruler
仏教,Buddhism
用途,Application
ベルリン,Berlin
スイス,Switzerland
最新,latest
性質,nature
主体,Subject
ゼロ,zero
日曜日,Sunday
さまざま,various
中川,Nakagawa
バラエティ,variety
岡崎,Okazaki
譲渡,assignment
そのもの,Itself
投資,investment
提出,Submission
ソビエト,Soviet
毛,hair
貿易,Trade
敷地,site
スポンサー,sponser
上田,Ueda
唐,Tang
カール,curl
ハイ,Yes
抵抗,resistance
まとめる,Summarize
停留所,Stoppage
循環,Circulation
パイロット,pilot
帳,Register
侵攻,invasion
現地,local
島根,Shimane
大野,Ogino
護衛,escort
北九州,Kitakyushu
引く,Pull
草,grass
高田,Takada
石井,Ishii
現実,reality
予備,Reserve
山下,Yamashita
表面,surface
地帯,Zone
脳,brain
挿入,Insertion
全集,Total collection
昌,Calm
患者,patient
学術,Academic
登板,Pet
打撃,Blow
最近,recently
敗退,Defeat
原子力,Nuclear power
忍,Shinobu
土曜日,Saturday
蒸気,vapor
嵐,storm
価値,worth
軽,Light
総務,general Affairs
不足,Shortage
孝,Filial piety
末期,Last stage
彩,Austerity
北東,Northeast
補助,auxiliary
徹,All
判明,Founder
強力,Powerful
可,Enabled
サイド,side
ドラム,drum
停車場,Stopping
寛,Lifement
好,Favor
加,Addition
冠,crown
やがて,After all
大島,Ojima
国勢調査,Census
佐,Ga
低下,Decline
死後,After death
一種,Kind
同一,Same
押す,push
ハンガリー,Hungary
青山,Aoyama
部下,Subordinate
ドライバー,driver
巡洋艦,cruiser
規則,Rule
特典,Benefit
不詳,unknown
まち,Town
智,Wisdom
旅客,passenger
手法,Method
近,Close
頼,Request
ジャック,Jack
ポルトガル,Portugal
当たり,Perfect
南西,Southwest
虎,tiger
信頼,trust
宏,Hiring
表明,Expiration
ジャン,Jean
投入,Input
オペラ,Opera
開局,Open station
骨,Bone
織田,Oatada
協同,Cooperation
入門,getting started
筋,logic
信仰,faith
実質,Essence
つまり,in short
ころ,around
追う,Chase
交点,Intersection
合,In
端,end
簡易,Simple
招く,Invite
拒否,rejection
大宮,Omiya
まず,first
涙,tears
メール,Email
後藤,Goto
メッセージ,message
タッグ,Tag
子ども,Child
湯,Hot water
架空,Fictitious
早稲田大学,University of Waseda University
負う,Bear
亭,Octopus
生成,generation
落ちる,drop down
送信,send
探す,seek
青木,Aoki
過程,process
開,Opening
暮らす,live
市役所,Ccty hall
ぶる,Bite
先発,Leader
残り,remaining
け,hair
リア,rear
新幹線,bullet train
移す,Transfer
クリア,clear
学区,School district
浩,Hiroshi
緊急,emergency
実力,real ability
水曜,Wednesday
ウィリアム,William
隠す,hide
楽,easy
前期,Previous year
救う,save
コピー,copy
幹部,Executive
アート,art
衝突,collision
キャスター,caster
東西,East and west
結合,Join
問う,Ask
測定,measurement
浜松,Hamamatsu
か月,Months
輸入,Import
もたらす,Bring
異,Different
意,Meaning
大佐,Colonel
取材,Coverage
株,stock
ナイト,Knight
常,Always
有す,Have
大人,adult
かい,shellfish
創刊,Launch
奥,Back
マスター,Master
避ける,avoid
幸,Fortune
約束,promise
ローカル,local
戦時,War time
共産党,Communist party
社員,employee
合唱,Chorus
宝塚,Takarazuka
難しい,difficult
フィギュア,Figures
トーナメント,tournament
対決,Confrontation
推定,Estimation
鶴,crane
ミッション,Mission
改修,Refurbishment
せい,because of
反乱,Revolt
最強,strongest
造,Creation
ディスク,disk
エース,Ace
貞,Cranity
参謀,Apprenticeship
着る,Wear
急,Sudden
広域,Wide area
転換,Conversion
バス停,bus station
近藤,Kondo
集まる,get together
耳,ear
任,Appointment
災害,disaster
フジテレビジョン,Fuji television
アナ,Ana
側面,side
卒,Graduate
ロサンゼルス,Los Angeles
坂本,Sakamoto
ミス,Mistake
編著,Carriage
将来,future
八幡,Hachiman
平方キロ,Square kilow
味,taste
下記,the below described
秀,Excellence
ミュージカル,musical
終える,Finish
ボディ,body
新田,New field
確立,Establishment
黄金,Golden
手紙,letter
いつも,everytime
築く,build
地獄,hell
解釈,interpretation
入,On
シナリオ,scenario
エジプト,Egypt
キャリア,Career
駆動,Driving
水系,Water system
校長,head teacher
工,Work
長期,Long-term
脱出,escape
ハウス,House
勝負,Match
取り上げる,take up
操縦,Steering
長谷川,Hasegawa
業界,industry
牛,Cow
正体,True character
斎藤,Saito
完了,completion
ハート,heart
眼,eye
不可能,impossible
売る,sell
望む,Wish
併合,Merge
ヒーロー,Hero
ステーション,station
事態,situation
平安,peace
ポケット,pocket
あの,that
指示,Instruction
境,Boundary
年版,Annual version
人工,Artificial
クラシック,Classic
